user_id,datetime,weekday,place_name,transport_mode,lon_x,lat_y
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-11T14:00:16+02:00,Tue,Schlimpergstrasse 16,,8.685052,47.430257
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-11T17:35:40+02:00,Tue,,Other1,8.685052,47.430257
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-11T17:35:40+02:00,Tue,,Other1,8.686584,47.427764
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-11T17:38:05+02:00,Tue,,Other1,8.723473,47.407611
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-11T17:45:54+02:00,Tue,,Car,8.723473,47.407611
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-11T17:46:21+02:00,Tue,,Car,8.724836,47.404526
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-11T17:46:34+02:00,Tue,,Car,8.726429,47.402594
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-11T17:46:53+02:00,Tue,,Car,8.728344,47.398768
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-11T20:00:24+02:00,Tue,Pfaffbergstrasse 7,,8.794738,47.366037
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T08:28:36+02:00,Wed,,Walk,8.752625,47.387180
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T08:28:54+02:00,Wed,,Walk,8.752117,47.387295
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T08:29:04+02:00,Wed,,Walk,8.752593,47.387142
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T08:29:14+02:00,Wed,,Walk,8.752691,47.387202
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T08:29:24+02:00,Wed,,Walk,8.752525,47.387224
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T08:29:35+02:00,Wed,,Walk,8.752727,47.387093
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T08:29:55+02:00,Wed,,Walk,8.752595,47.387147
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T08:30:05+02:00,Wed,,Walk,8.752709,47.387099
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T08:30:14+02:00,Wed,,Walk,8.752499,47.387115
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T08:30:25+02:00,Wed,,Walk,8.752526,47.387068
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T08:30:39+02:00,Wed,,Walk,8.752526,47.387111
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T08:30:49+02:00,Wed,,Walk,8.752588,47.387161
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T08:31:03+02:00,Wed,,Walk,8.752450,47.387275
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T08:31:15+02:00,Wed,,Walk,8.752375,47.387279
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T08:31:15+02:00,Wed,,Walk,8.752278,47.387256
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T08:31:15+02:00,Wed,Kirche Fehraltorf,,8.752278,47.387256
71da47e1-a7a7-4e3e-a77a-25a99294f52a,2023-04-12T17:00:06+02:00,Wed,,Other1,8.752278,47.387256
