user_id,datetime,weekday,place_name,transport_mode,lon_x,lat_y
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T00:00:00+02:00,Sun,Hofweg 3,,7.470422,47.224118
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T09:19:41+02:00,Sun,,Car,7.470422,47.224118
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T09:19:41+02:00,Sun,,Car,7.470916,47.224554
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T09:19:56+02:00,Sun,,Car,7.471465,47.223362
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T09:20:12+02:00,Sun,,Car,7.471265,47.221459
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T09:20:27+02:00,Sun,,Car,7.472227,47.220332
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T09:20:42+02:00,Sun,,Car,7.475450,47.220116
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T09:20:57+02:00,Sun,,Car,7.478593,47.219358
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T09:21:12+02:00,Sun,,Car,7.483022,47.218780
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T09:21:27+02:00,Sun,,Car,7.487083,47.219029
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T09:21:43+02:00,Sun,,Car,7.489536,47.218308
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T09:21:58+02:00,Sun,,Car,7.492480,47.218267
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T09:22:13+02:00,Sun,,Car,7.495468,47.218037
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T09:22:28+02:00,Sun,,Car,7.498261,47.217551
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T09:22:43+02:00,Sun,,Car,7.501193,47.216816
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T09:22:58+02:00,Sun,,Car,7.503434,47.216097
041cb7a2-1328-4e20-9ad0-4f3eeaa7e917,2023-05-07T09:23:14+02:00,Sun,,Car,7.505456,47.215978
